Neighbourhood,Sex Offences,Assaults,Robbery,B&E,Theft of MV,Theft from Auto,Theft<>$5K,Arson,Mischief,Offensive Weapons
Arbutus Ridge,0,1,0,5,1,9,2,0,2,2
Central Business District,10,101,15,64,6,342,283,7,95,13
Dunbar - Southlands,0,1,0,10,1,15,4,0,5,0
Fairview,2,8,2,15,3,28,42,0,15,0
Grandview - Woodland,0,14,0,20,10,29,41,1,19,1
Hastings - Sunrise,3,2,1,16,5,23,16,1,9,0
Kensington - Cedar Cottage,3,9,2,10,7,19,27,2,11,1
Kerrisdale,0,1,0,12,0,3,4,0,4,0
Killarney,0,5,0,14,5,8,11,0,6,1
Kitsilano,0,3,0,20,5,35,24,0,14,0
Marpole,0,5,2,15,1,18,19,0,7,1
Mount Pleasant,1,12,3,22,7,50,59,2,21,0
Musqueam,0,3,0,1,0,1,0,0,1,0
Oakridge,0,2,0,15,0,8,13,1,1,0
Renfrew - Collingwood,3,11,2,8,9,32,46,0,14,2
Riley Park,3,1,2,21,2,22,7,0,5,1
Shaughnessy,0,2,0,11,1,9,1,0,5,0
South Cambie,0,2,0,5,0,4,5,0,1,0
Stanley Park,0,1,0,0,0,5,3,0,0,0
Strathcona,3,46,4,7,5,26,39,2,30,6
Sunset,0,8,4,9,5,16,12,1,4,2
Victoria - Fraserview,1,5,3,8,5,17,9,0,5,1
West End,0,25,7,19,5,73,85,2,16,4
West Point Grey,0,1,0,11,3,11,2,0,7,0
GRAND TOTAL,29,269,47,338,86,803,754,19,297,35
