cockroach sql --url=postgresql://root@54.186.70.223:26257?sslmode=disable
set database = NWHacks17;
DELETE FROM Hotspot;
INSERT INTO Hotspot (Neighbourhood, Address, Name, Lat, Long) VALUES ('Arbutus Ridge','4255 Arbutus St Vancouver BC V6J 4R1 Canada','Arbutus Shopping Centre',49.2487758,-123.1550158) ON CONFLICT (Lat,Long) DO NOTHING;
INSERT INTO Hotspot (Neighbourhood, Address, Name, Lat, Long) VALUES ('Arbutus Ridge','4255 Arbutus St Vancouver BC V6J 4R1 Canada','Arbutus Shopping Centre',49.2487758,-123.1550158) ON CONFLICT (Lat,Long) DO NOTHING;
INSERT INTO Hotspot (Neighbourhood, Address, Name, Lat, Long) VALUES ('Oakridge','650 W 41st Ave Vancouver BC V5Z 2M9 Canada','Oakridge Centre',49.2320488,-123.1186817) ON CONFLICT (Lat,Long) DO NOTHING;
INSERT INTO Hotspot (Neighbourhood, Address, Name, Lat, Long) VALUES ('West End','1155 Robson St Vancouver BC V6E 1B5 Canada','Robson Street Business Association',49.2855657,-123.1260072) ON CONFLICT (Lat,Long) DO NOTHING;
INSERT INTO Hotspot (Neighbourhood, Address, Name, Lat, Long) VALUES ('West End','1087 Robson St Vancouver BC V6E 1A9 Canada','Virgin Mobile',49.2843661,-123.1242801) ON CONFLICT (Lat,Long) DO NOTHING;
INSERT INTO Hotspot (Neighbourhood, Address, Name, Lat, Long) VALUES ('West End','768 Bute St Vancouver BC V6E 4H6 Canada','BC Liquor Stores',49.286295,-123.1257327) ON CONFLICT (Lat,Long) DO NOTHING;
INSERT INTO Hotspot (Neighbourhood, Address, Name, Lat, Long) VALUES ('Grandview-Woodland','1820 E Hastings St Vancouver BC V5L 1T2 Canada','Value Village',49.2809372,-123.0674942) ON CONFLICT (Lat,Long) DO NOTHING;
INSERT INTO Hotspot (Neighbourhood, Address, Name, Lat, Long) VALUES ('Grandview-Woodland','1820 E Hastings St Vancouver BC V5L 1T2 Canada','Value Village',49.2809372,-123.0674942) ON CONFLICT (Lat,Long) DO NOTHING;
INSERT INTO Hotspot (Neighbourhood, Address, Name, Lat, Long) VALUES ('Grandview-Woodland','2092 E Hastings St Vancouver BC V5L 1T9 Canada','7-Eleven',49.2808595,-123.0619654) ON CONFLICT (Lat,Long) DO NOTHING;
INSERT INTO Hotspot (Neighbourhood, Address, Name, Lat, Long) VALUES ('Grandview-Woodland','1684 Commercial Dr Vancouver BC V5L 3Y4 Canada','The DRIVE PHARMACY',49.269813,-123.0694611) ON CONFLICT (Lat,Long) DO NOTHING;
INSERT INTO Hotspot (Neighbourhood, Address, Name, Lat, Long) VALUES ('Grandview-Woodland','1684 Commercial Dr Vancouver BC V5L 3Y4 Canada','The DRIVE PHARMACY',49.269813,-123.0694611) ON CONFLICT (Lat,Long) DO NOTHING;
INSERT INTO Hotspot (Neighbourhood, Address, Name, Lat, Long) VALUES ('Grandview-Woodland','1343 Adanac St Vancouver BC V5L 2C4 Canada','Cosmos Auto Body & Collision Repair Shop Vancouver Bc',49.2777896,-123.0761456) ON CONFLICT (Lat,Long) DO NOTHING;
INSERT INTO Hotspot (Neighbourhood, Address, Name, Lat, Long) VALUES ('Grandview-Woodland','1343 Adanac St Vancouver BC V5L 2C4 Canada','Cosmos Auto Body & Collision Repair Shop Vancouver Bc',49.2777896,-123.0761456) ON CONFLICT (Lat,Long) DO NOTHING;
INSERT INTO Hotspot (Neighbourhood, Address, Name, Lat, Long) VALUES ('Mount Pleasant','370 E Broadway #129 Near BC Liquor Stores Vancouver BC V5T 4G5 Canada','Fast Cell Repair (Kingsgate Mall)',49.262255,-123.097158) ON CONFLICT (Lat,Long) DO NOTHING;
INSERT INTO Hotspot (Neighbourhood, Address, Name, Lat, Long) VALUES ('Hastings-Sunrise','2415 East 1st Avenue Vancouver BC V5M 1A2 Canada','7-Eleven',49.2698996,-123.0562455) ON CONFLICT (Lat,Long) DO NOTHING;
INSERT INTO Hotspot (Neighbourhood, Address, Name, Lat, Long) VALUES ('Grandview-Woodland','1310 Odlum Dr Vancouver BC V5L 3M3 Canada','Maiwa East',49.272935,-123.075749) ON CONFLICT (Lat,Long) DO NOTHING;
